,mb,mun,year,budget,expenditure,income,transfers,area,population,income_percap,budget_percap,expenditure_percap,transfers_percap,pe_party_id,pe_party_abr,pe_party_full,party13_id,party13_abr,party13_full
16,70068,Bajina Basta,2012,1127090.21,955951.15,963495.0,178119.0,673,25205.0,38.2263439794,44.7169295775,37.9270442373,7.06681214045,17.0,SRS,Srpska Radikalna stranka,17.0,SRS,Srpska Radikalna stranka
17,70068,Bajina Basta,2013,1014248.0,790379.42,810786.0,207073.0,673,25205.0,32.1676651458,40.2399523904,31.3580408649,8.21555246975,17.0,SRS,Srpska Radikalna stranka,17.0,SRS,Srpska Radikalna stranka
18,70076,Batocina,2011,,,270564.0,109932.0,136,11427.0,23.6776056708,,,9.62037280126,,,,,,
19,70076,Batocina,2012,,,372320.0,159736.0,136,11427.0,32.582480091,,,13.978822088,,,,,,
20,70076,Batocina,2013,,,336541.0,124867.0,136,11427.0,29.4513870657,,,10.9273650127,,,,,,
21,70084,Bela Palanka,2011,,,259895.0,147621.0,517,11559.0,22.484211437,,,12.7710874643,,,,,,
22,70084,Bela Palanka,2012,,,442496.0,292112.0,517,11559.0,38.2815122415,,,25.2713902587,,,,,,
23,70084,Bela Palanka,2013,,,448878.0,257284.0,517,11559.0,38.8336361277,,,22.2583268449,,,,,,
24,70262,Blace,2011,209559.0,195373.0,215281.0,94118.0,306,11212.0,19.2009454156,18.6905993578,17.4253478416,8.39439885837,2.0,DS,Demokratska Stranka,7.0,DSS,Demokratska stranke Srbije
25,70262,Blace,2012,340951.0,295164.0,334219.0,181623.0,306,11212.0,29.8090438816,30.4094719943,26.3257224402,16.1989832323,2.0,DS,Demokratska Stranka,7.0,DSS,Demokratska stranke Srbije
26,70262,Blace,2013,325286.0,254404.0,319254.0,179809.0,306,11212.0,28.4743132358,29.0123082412,22.6903317874,16.037192294,2.0,DS,Demokratska Stranka,7.0,DSS,Demokratska stranke Srbije
27,70289,Bogatic,2011,503515.0,473849.86,199590.0,114443.0,384,27881.0,7.15863849934,18.0594311538,16.9954399053,4.10469495355,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
28,70289,Bogatic,2012,596000.0,576968.07,643942.0,313845.0,384,27881.0,23.0960869409,21.3765646856,20.6939517951,11.2565905097,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
29,70289,Bogatic,2013,602500.0,591205.0,613326.0,349906.0,384,27881.0,21.9979914637,21.6096983609,21.2045837667,12.5499802733,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
30,70297,Bojnik,2011,233922.0,176231.0,182483.0,124374.0,264,10714.0,17.0322008587,21.8333022214,16.4486652977,11.6085495613,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
31,70297,Bojnik,2012,351910.0,304421.0,306513.0,217038.0,264,10714.0,28.6086428971,32.8458092216,28.4133843569,20.2574201979,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
32,70297,Bojnik,2013,386504.0,311458.0,305719.0,0.0,264,10714.0,28.5345342542,36.0746686578,29.0701885384,0.0,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
33,70319,Boljevac,2011,,,275205.0,139163.0,828,12231.0,22.500613196,,,11.377892241,,,,,,
34,70319,Boljevac,2012,,,389220.0,223315.0,828,12231.0,31.8224184449,,,18.2581146268,,,,,,
35,70319,Boljevac,2013,,,418019.0,251202.0,828,12231.0,34.1770092388,,,20.5381407898,,,,,,
36,70327,Bor,2011,,,1346842.0,282647.0,856,47444.0,28.3880364219,,,5.95748672119,,,,,,
37,70327,Bor,2012,,,1773645.0,311455.0,856,47444.0,37.3839684681,,,6.56468678864,,,,,,
38,70327,Bor,2013,,,1887316.0,361606.0,856,47444.0,39.7798667903,,,7.62174352921,,,,,,
39,70335,Bosilegrad,2011,279126.58,196662.58,195635.0,98909.0,571,7729.0,25.3118126536,36.1141907103,25.4447638763,12.7971277009,,,,,,
40,70335,Bosilegrad,2012,537861.46,368712.8,393735.0,248219.0,571,7729.0,50.9425540173,69.590045284,47.7051106223,32.1152801139,,,,,,
41,70335,Bosilegrad,2013,700467.61,429274.65,394516.0,281813.0,571,7729.0,51.0436020184,90.628491396,55.5407750032,36.4617673696,,,,,,
42,70343,Brus,2011,490000.0,305234.0,314425.0,102871.0,606,15706.0,20.0194193302,31.1982681778,19.4342289571,6.54978988921,15.0,NS,Nova Srbija,3.0,SPS,Socijalisticka Partija Srbije
43,70343,Brus,2012,576384.0,402141.0,432287.0,196284.0,606,15706.0,27.5236852158,36.6983318477,25.6042913536,12.4973895327,15.0,NS,Nova Srbija,3.0,SPS,Socijalisticka Partija Srbije
44,70343,Brus,2013,620581.0,400133.0,418608.0,201949.0,606,15706.0,26.6527441742,39.5123519674,25.476442124,12.8580797148,15.0,NS,Nova Srbija,3.0,SPS,Socijalisticka Partija Srbije
45,70351,Bujanovac,2011,,,684568.0,348844.0,461,38085.0,17.9747407116,,,9.15961664697,,,,,,
46,70351,Bujanovac,2012,,,935649.0,501503.0,461,38085.0,24.5673887357,,,13.167992648,,,,,,
47,70351,Bujanovac,2013,,,982051.0,551368.0,461,38085.0,25.7857686753,,,14.4773007746,,,,,,
48,70360,Valjevo,2011,1866639.54,1744940.02,2128269.0,360632.0,905,88527.0,24.0409027754,21.085539327,19.7108229128,4.07369503089,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
49,70360,Valjevo,2012,2317721.91,2187933.29,2680239.0,696700.0,905,88527.0,30.2759497103,26.1809607238,24.7148699267,7.86991539304,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
50,70360,Valjevo,2013,2421257.49,2173872.7,2346172.0,523792.0,905,88527.0,26.5023326217,27.3504974753,24.5560416596,5.91674856259,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
51,70378,Varvarin,2011,,,264248.0,149001.0,249,17349.0,15.231310162,,,8.58844890195,25.0,SPO,Srpski pokret obnove,25.0,SPO,Srpski pokret obnove
52,70378,Varvarin,2012,715814.0,652528.7,387395.0,240991.0,249,17349.0,22.3295290795,41.2596691452,37.6118911753,13.8907718024,25.0,SPO,Srpski pokret obnove,25.0,SPO,Srpski pokret obnove
53,70378,Varvarin,2013,467999.99,384998.12,384404.0,262880.0,249,17349.0,22.1571272119,26.9756176148,22.1913724134,15.1524583549,25.0,SPO,Srpski pokret obnove,25.0,SPO,Srpski pokret obnove
54,70386,Velika Plana,2011,,,695826.0,228078.0,345,39620.0,17.5624936901,,,5.75663806159,,,,,,
55,70386,Velika Plana,2012,,,926791.0,349446.0,345,39620.0,23.3919989904,,,8.81993942453,,,,,,
56,70386,Velika Plana,2013,,,880496.0,363077.0,345,39620.0,22.223523473,,,9.16398283695,,,,,,
57,70394,Veliko Gradiste,2011,336809.83,293950.22,403571.0,135707.0,344,16948.0,23.812308237,19.8731313429,17.3442423885,8.00725749351,,,,,,
58,70394,Veliko Gradiste,2012,643251.41,450637.0,506301.0,217582.0,344,16948.0,29.8737904177,37.9544140902,26.5893910786,12.8382109983,,,,,,
59,70394,Veliko Gradiste,2013,530335.21,465333.39,520181.0,235191.0,344,16948.0,30.6927661081,31.2919052396,27.4565370545,13.8772126505,,,,,,
60,70408,Vladimirci,2011,,,134216.0,0.0,338,16782.0,7.99761649386,,,0.0,,,,,,
61,70408,Vladimirci,2012,,,139367.0,0.0,338,16782.0,8.30455249672,,,0.0,,,,,,
62,70408,Vladimirci,2013,,,379388.0,210903.0,338,16782.0,22.6068406626,,,12.5672148731,,,,,,
63,70416,Vladicin Han,2011,371143.69,324390.07,389650.0,0.0,366,20012.0,19.4708175095,18.5460568659,16.2097776334,0.0,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
64,70416,Vladicin Han,2012,600999.99,561225.02,598587.0,0.0,366,20012.0,29.9114031581,30.0319803118,28.0444243454,0.0,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
65,70416,Vladicin Han,2013,647663.27,561046.38,551111.0,306087.0,366,20012.0,27.539026584,32.3637452528,28.0354977014,15.2951728963,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
66,70424,Vlasotince,2011,,,453676.0,230581.0,308,28948.0,15.6721016996,,,7.96535166505,,,,,,
67,70424,Vlasotince,2012,,,654535.0,348532.0,308,28948.0,22.6107157662,,,12.0399336742,,,,,,
68,70424,Vlasotince,2013,,,634899.0,343112.0,308,28948.0,21.9323960205,,,11.8527013956,,,,,,
69,70459,Vrnjacka Banja,2011,948615.21,518174.74,661612.0,75614.0,239,26948.0,24.5514323883,35.2016925189,19.2286900698,2.80592251744,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
70,70459,Vrnjacka Banja,2012,655787.16,579974.69,797525.0,167033.0,239,26948.0,29.594960665,24.3352812825,21.52199384,6.19834496066,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
71,70459,Vrnjacka Banja,2013,911950.07,792380.43,922647.0,173556.0,239,26948.0,34.2380510613,33.841103978,29.404053362,6.44040374054,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
72,70467,Gadzin Han,2011,312040.0,233174.0,200279.0,103008.0,325,7767.0,25.7858890176,40.1750997811,30.0211149736,13.2622634222,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
73,70467,Gadzin Han,2012,422672.0,300416.0,302740.0,211953.0,325,7767.0,38.9777262778,54.4189519763,38.6785116519,27.2889146389,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
74,70467,Gadzin Han,2013,433210.0,251946.0,261948.0,167091.0,325,7767.0,33.7257628428,55.7757177804,32.4380069525,21.5129393588,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
75,70475,Golubac,2011,258948.0,200775.0,181465.0,94254.0,367,7940.0,22.854534005,32.6130982368,25.2865239295,11.8707808564,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
76,70475,Golubac,2012,271675.0,253060.0,266622.0,170340.0,367,7940.0,33.5795969773,34.2159949622,31.8715365239,21.4534005038,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
77,70475,Golubac,2013,307821.0,250140.0,283335.0,185507.0,367,7940.0,35.6845088161,38.7683879093,31.5037783375,23.3636020151,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
78,70483,Gornji Milanovac,2011,954190.0,928298.0,1050487.0,185830.0,836,43140.0,24.3506490496,22.1184515531,21.5182661103,4.30760315253,3.0,SPS,Socijalisticka Partija Srbije,2.0,DS,Demokratska Stranka
79,70483,Gornji Milanovac,2012,1181760.0,1058607.0,1280557.0,233585.0,836,43140.0,29.6837505795,27.3936022253,24.5388734353,5.41458043579,3.0,SPS,Socijalisticka Partija Srbije,2.0,DS,Demokratska Stranka
80,70483,Gornji Milanovac,2013,1382448.0,1073109.0,1293143.0,284782.0,836,43140.0,29.9754983774,32.0456189152,24.8750347705,6.6013444599,3.0,SPS,Socijalisticka Partija Srbije,2.0,DS,Demokratska Stranka
81,70491,Despotovac,2011,581938.69,507282.59,576542.0,217603.0,623,22094.0,26.0949579071,26.3392183398,22.960196886,9.84896351951,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
82,70491,Despotovac,2012,682340.55,650362.47,648223.0,248679.0,623,22094.0,29.3393228931,30.8835226758,29.4361577804,11.2554992306,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
83,70491,Despotovac,2013,697715.07,628985.99,667834.0,288085.0,623,22094.0,30.2269394406,31.5793912374,28.4686335657,13.0390603784,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
84,70505,Dimitrovgrad,2011,,,401515.0,89295.0,483,9758.0,41.1472637836,,,9.15095306415,,,,,,
85,70505,Dimitrovgrad,2012,,,481244.0,119855.0,483,9758.0,49.3178930109,,,12.2827423652,,,,,,
86,70505,Dimitrovgrad,2013,,,534508.0,155829.0,483,9758.0,54.7763886042,,,15.9693584751,,,,,,
87,70513,Doljevac,2011,268817.0,249963.0,254821.0,114750.0,121,18305.0,13.9208413002,14.6854411363,13.6554493308,6.26877902213,26.0,PZJ,Pokret za Jug,26.0,PZJ,Pokret za Jug
88,70513,Doljevac,2012,385341.0,354478.0,406756.0,211879.0,121,18305.0,22.2210325048,21.0511335701,19.3650915051,11.5749248839,26.0,PZJ,Pokret za Jug,26.0,PZJ,Pokret za Jug
89,70513,Doljevac,2013,436737.0,358896.0,402993.0,209876.0,121,18305.0,22.0154602568,23.8588910134,19.6064463261,11.4655012292,26.0,PZJ,Pokret za Jug,26.0,PZJ,Pokret za Jug
90,70521,zabari,2011,211235.48,156185.44,201932.0,114495.0,264,10645.0,18.969657116,19.8436336308,14.6721878816,10.7557538751,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
91,70521,zabari,2012,305474.0,278458.79,263444.0,186963.0,264,10645.0,24.7481446689,28.6964772194,26.1586463128,17.5634570221,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
92,70521,zabari,2013,305610.89,271664.51,289106.0,188962.0,264,10645.0,27.158853922,28.7093367778,25.5203860968,17.7512447158,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
93,70530,zagubica,2011,476460.0,219772.0,251433.0,147974.0,760,12084.0,20.8071002979,39.4289970209,18.1870241642,12.245448527,4.0,URS,Ujedinjeni Regioni Srbije,3.0,SPS,Socijalisticka Partija Srbije
94,70530,zagubica,2012,382171.0,357960.0,387316.0,266687.0,760,12084.0,32.0519695465,31.6261999338,29.6226415094,22.0694306521,4.0,URS,Ujedinjeni Regioni Srbije,3.0,SPS,Socijalisticka Partija Srbije
95,70530,zagubica,2013,462608.0,362453.0,386056.0,275966.0,760,12084.0,31.9476994373,38.2826878517,29.9944554783,22.837305528,4.0,URS,Ujedinjeni Regioni Srbije,3.0,SPS,Socijalisticka Partija Srbije
96,70548,zitoradja,2011,318114.0,234337.0,285866.0,160096.0,214,15792.0,18.1019503546,20.1439969605,14.8389690983,10.1377912867,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
97,70548,zitoradja,2012,475869.0,408332.0,412647.0,271282.0,214,15792.0,26.1301291793,30.1335486322,25.8568895643,17.1784447822,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
98,70548,zitoradja,2013,149435.0,119271.0,441793.0,239905.0,214,15792.0,27.9757472138,9.46270263425,7.55262158055,15.1915526849,2.0,DS,Demokratska Stranka,2.0,DS,Demokratska Stranka
99,70556,Zajecar,2011,2417110.71,1353546.58,1538762.0,248615.0,1069,57457.0,26.7811058705,42.0681676732,23.5575574778,4.32697495518,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
100,70556,Zajecar,2012,1816780.72,1458135.47,1563566.0,320636.0,1069,57457.0,27.2128026176,31.6198325704,25.3778559618,5.58045146805,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
101,70556,Zajecar,2013,1980901.43,1424966.41,1531406.0,344648.0,1069,57457.0,26.6530796944,34.4762418852,24.8005710357,5.99836399394,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
102,70564,Ivanjica,2011,732480.0,618024.0,708251.0,14907.0,1090,31033.0,22.82251152,23.6032610447,19.9150581639,0.480359617182,10.0,GGZZI,Grupa Gradjana Zajedno za Ivanjicu,9.0,GGMZ,Grupa Gradjana Milomir Zoric
103,70564,Ivanjica,2012,922712.0,737255.71,802209.0,18852.0,1090,31033.0,25.8501917314,29.7332516998,23.7571523862,0.60748235749,10.0,GGZZI,Grupa Gradjana Zajedno za Ivanjicu,9.0,GGMZ,Grupa Gradjana Milomir Zoric
104,70564,Ivanjica,2013,925297.0,777533.0,831981.0,8935.0,1090,31033.0,26.8095575678,29.8165501241,25.0550381852,0.2879193117,10.0,GGZZI,Grupa Gradjana Zajedno za Ivanjicu,9.0,GGMZ,Grupa Gradjana Milomir Zoric
105,70572,Kladovo,2011,889518.45,650682.43,634805.0,91405.0,629,19834.0,32.0058989614,44.8481622466,32.8064147424,4.6085005546,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
106,70572,Kladovo,2012,832787.47,695997.58,763927.0,153264.0,629,19834.0,38.5160330745,41.9878728446,35.091135424,7.72733689624,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
107,70572,Kladovo,2013,797774.0,655892.52,655010.0,169431.0,629,19834.0,33.024604215,40.2225471413,33.0690995261,8.54245235454,3.0,SPS,Socijalisticka Partija Srbije,3.0,SPS,Socijalisticka Partija Srbije
108,70599,Knic,2011,307983.0,232693.0,250674.0,151248.0,413,13675.0,18.3308226691,22.5216087751,17.0159414991,11.0601828154,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
109,70599,Knic,2012,385700.0,285086.0,321452.0,197450.0,413,13675.0,23.5065447898,28.2047531993,20.8472394881,14.4387568556,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
110,70599,Knic,2013,398802.0,267380.0,325130.0,204648.0,413,13675.0,23.7755027422,29.1628519196,19.5524680073,14.96511883,2.0,DS,Demokratska Stranka,3.0,SPS,Socijalisticka Partija Srbije
111,70602,Knjazevac,2011,732705.0,658223.0,643241.0,296449.0,1202,29948.0,21.4785962335,24.4659075731,21.9788633632,9.89879123815,2.0,DS,Demokratska Stranka,4.0,URS,Ujedinjeni Regioni Srbije
112,70602,Knjazevac,2012,989503.0,958875.0,965382.0,488124.0,1202,29948.0,32.2352744758,33.0407038867,32.017997863,16.2990516896,2.0,DS,Demokratska Stranka,4.0,URS,Ujedinjeni Regioni Srbije
113,70602,Knjazevac,2013,948057.0,857953.0,868916.0,446051.0,1202,29948.0,29.0141578736,31.6567717377,28.6480900227,14.894183251,2.0,DS,Demokratska Stranka,4.0,URS,Ujedinjeni Regioni Srbije
114,70629,Kosjeric,2011,,,250604.0,70859.0,358,11542.0,21.7123548778,,,6.13923063594,,,,,,
115,70629,Kosjeric,2012,,,559907.0,126862.0,358,11542.0,48.5103968116,,,10.9913359903,,,,,,
116,70629,Kosjeric,2013,,,360075.0,79285.0,358,11542.0,31.1969329406,,,6.86926009357,,,,,,
117,70637,Koceljeva,2011,226550.0,187464.0,277226.0,105439.0,257,12497.0,22.183404017,18.1283508042,15.0007201728,8.43714491478,8.0,GGzVM,Grupa Gradjana Veroljub Matic,1.0,SNS,Srpska Napredna Stranka
118,70637,Koceljeva,2012,336098.0,288269.0,328023.0,165486.0,257,12497.0,26.2481395535,26.8942946307,23.0670560935,13.2420580939,8.0,GGzVM,Grupa Gradjana Veroljub Matic,1.0,SNS,Srpska Napredna Stranka
119,70637,Koceljeva,2013,307347.0,273270.0,340572.0,179779.0,257,12497.0,27.2523005521,24.593662479,21.8668480435,14.3857725854,8.0,GGzVM,Grupa Gradjana Veroljub Matic,1.0,SNS,Srpska Napredna Stranka
120,70645,Kragujevac - grad,2011,,,4900756.0,827608.0,835,178847.0,27.4019469155,,,4.62746369802,,,,,,
121,70645,Kragujevac - grad,2012,,,5807523.0,810732.0,835,178847.0,32.4720179819,,,4.53310371435,,,,,,
122,70645,Kragujevac - grad,2013,,,5968987.0,815011.0,835,178847.0,33.3748231729,,,4.55702919255,,,,,,
123,70653,Kraljevo,2011,4382034.0,3902317.0,3922383.0,2181589.0,1530,122782.0,31.9459122673,35.6895473278,31.7824844033,17.7679871642,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
124,70653,Kraljevo,2012,3322438.0,2977426.0,3061767.0,918311.0,1530,122782.0,24.9366112297,27.0596504374,24.2496945806,7.47919890538,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
125,70653,Kraljevo,2013,3436817.0,2960726.0,3181096.0,777642.0,1530,122782.0,25.9084882149,27.9912120669,24.1136811585,6.33351794237,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
126,70661,Krupanj,2011,344921.0,274072.0,313670.0,160145.0,342,16459.0,19.057658424,20.9563764506,16.651801446,9.72993498998,,,,,,
127,70661,Krupanj,2012,480880.0,378935.0,429991.0,266604.0,342,16459.0,26.1249772161,29.2168418494,23.0229661583,16.1980679264,,,,,,
128,70661,Krupanj,2013,601450.0,504308.0,478593.0,289163.0,342,16459.0,29.0778905158,36.5423172732,30.6402576098,17.5686858254,,,,,,
129,70670,Krusevac,2011,2851548.0,2291926.0,2265350.0,473937.0,854,125853.0,17.9999682169,22.6577673953,18.2111352133,3.76579819313,,,,,,
130,70670,Krusevac,2012,3311473.0,2842927.0,2843968.0,556073.0,854,125853.0,22.597538398,26.3122293469,22.5892668431,4.41843261583,,,,,,
131,70670,Krusevac,2013,3279899.0,2712812.0,2677677.0,579706.0,854,125853.0,21.2762270268,26.061349352,21.5554019372,4.60621518756,,,,,,
132,70688,Kursumlija,2011,372999.99,340046.56,373184.0,168205.0,952,18488.0,20.1852012116,20.1752482691,18.3928256166,9.09806360883,15.0,NS,Nova Srbija,1.0,SNS,Srpska Napredna Stranka
133,70688,Kursumlija,2012,611704.65,556535.64,624367.0,316710.0,952,18488.0,33.7714733881,33.0865777802,30.1025335353,17.1305711813,15.0,NS,Nova Srbija,1.0,SNS,Srpska Napredna Stranka
134,70688,Kursumlija,2013,529399.32,445316.39,653665.0,335181.0,952,18488.0,35.3561769797,28.6347533535,24.0867800736,18.1296516659,15.0,NS,Nova Srbija,1.0,SNS,Srpska Napredna Stranka
135,70696,Kucevo,2011,353851.0,321477.0,313827.0,163329.0,721,14515.0,21.6208749569,24.3782983121,22.147915949,11.2524285222,1.0,SNS,Srpska Napredna Stranka,1.0,SNS,Srpska Napredna Stranka
136,70696,Kucevo,2012,457900.0,438651.0,446915.0,261217.0,721,14515.0,30.7898725456,31.5466758526,30.2205304857,17.9963486049,1.0,SNS,Srpska Napredna Stranka,1.0,SNS,Srpska Napredna Stranka
137,70696,Kucevo,2013,497000.0,433318.0,455868.0,272514.0,721,14515.0,31.406682742,34.2404409232,29.8531174647,18.774646917,1.0,SNS,Srpska Napredna Stranka,1.0,SNS,Srpska Napredna Stranka
138,70700, Lajkovac,2011,1277765.6,766550.1,897292.0,50588.0,186,15150.0,59.2271947195,84.3409636964,50.5973663366,3.33914191419,7.0,DSS,Demokratska stranke Srbije,3.0,SPS,Socijalisticka Partija Srbije
139,70700, Lajkovac,2012,1402125.96,838587.29,744753.0,63244.0,186,15150.0,49.1586138614,92.5495683168,55.3522963696,4.17452145215,7.0,DSS,Demokratska stranke Srbije,3.0,SPS,Socijalisticka Partija Srbije
140,70700, Lajkovac,2013,1354791.69,848152.96,818375.0,68126.0,186,15150.0,54.0181518152,89.4251940594,55.9836937294,4.49676567657,7.0,DSS,Demokratska stranke Srbije,3.0,SPS,Socijalisticka Partija Srbije
141,70718,Lebane,2011,,,283525.0,0.0,337,20961.0,13.5263107676,,,0.0,,,,,,
142,70718,Lebane,2012,,,470299.0,311222.0,337,20961.0,22.4368589285,,,14.8476694814,,,,,,
143,70718,Lebane,2013,,,503701.0,345136.0,337,20961.0,24.0303897715,,,16.46562664,,,,,,
144,70726,Leskovac,2011,2505308.0,2279920.0,2589162.0,723127.0,1025,140487.0,18.4299045463,17.8330236961,16.2286901991,5.14728764939,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
145,70726,Leskovac,2012,3117563.0,2947130.0,3185290.0,927982.0,1025,140487.0,22.6732010791,22.1911137685,20.9779552556,6.60546527437,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
146,70726,Leskovac,2013,3216943.0,2836535.0,2959572.0,970886.0,1025,140487.0,21.0665186103,22.8985101824,20.1907293913,6.91086007958,2.0,DS,Demokratska Stranka,1.0,SNS,Srpska Napredna Stranka
147,70734,Loznica,2011,1539330.0,1319910.06,1410383.0,443334.0,612,77543.0,18.1883986949,19.8513083064,17.0216532762,5.71726654888,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
148,70734,Loznica,2012,2119366.0,1769992.08,1795340.0,594712.0,612,77543.0,23.1528313323,27.3314934939,22.8259427672,7.66944791922,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
149,70734,Loznica,2013,2384863.09,1877073.91,1960133.0,766264.0,612,77543.0,25.2780134893,30.755362702,24.2068776034,9.88179461718,4.0,URS,Ujedinjeni Regioni Srbije,4.0,URS,Ujedinjeni Regioni Srbije
150,70742,Lucani,2011,,,493035.0,135676.0,454,20012.0,24.6369678193,,,6.7797321607,,,,,,
